Solute SMILES,logS
CCCCC(CC)CO,-2.1375
CCCCCCCCCC,-4.437
CO,1.544666667
CC(C)=O,1.236
CC(C)O,0.8255
CCCOCC,-0.6722
CC#N,0.8235
CCCCCC,-3.8854
C1CCOC1,0.840666667
CCN(CC)CC,-0.154
CC(=O)O,1.166
CC(=O)OC(C)=O,0.07
C1CCCCC1,-3.134
C1COCCO1,1.055
CCCOC,-0.388
CNN,1.3385
CN(C)C=O,1.136
C[N+](=O)[O-],0.2535
CCCO,0.9205
CSC,-0.6426
CC1CCCO1,0.15875
CCCCOCC,-1.55
c1ccccc1,-1.6405
CC(C)(C)O,1.13
CCCCC,-3.1814
CCOCCO,1.045
Cc1ccccc1,-2.2224
NC=O,1.346
CCO,1.19275
CCC(C)=O,0.5432
CNC=O,1.229
CCCCOCCCC,-2.244
CCN,1.346
CCCCCCC,-4.4995
CS(C)=O,1.107
CC1COC(=O)O1,0.279666667
CCCCCCCCO,-2.4364
CCCCO,-0.0376
CC(C)CC(C)(C)C,-4.705
CCOCC,-0.0895
O=S1(=O)CCCC1,-0.08
CNC(C)=O,1.136
CC(C)C(N)=O,-0.285
CCCCOC(=O)CCC,-2.4105
CCCCOC(C)=O,-1.13
CC(O)CO,1.119
CC(C)CO,0.0596
CCOC=O,0.1206
CC(C)CC(C)O,-0.797
CCCOC(C)=O,-0.7252
CCC(C)O,0.419
CC(C)CCO,-0.5072
CCCC(C)O,-0.2825
CCOC(C)=O,-0.0378
CCCC(C)CO,-1.14025
CN1CCCC1=O,1.002666667
Cc1ccc(C)cc1,-2.7982
CCCCCO,-0.6015
CC(C)CCCC(C)CCO,-3.393
CCCCCCCO,-1.8228
CCCCCCCCCCO,-3.6305
CC(O)COC(C)(C)C,0.117
CCCCCCCCCCCCCC(=O)OC(C)C,-7.0095
N#CCCCCC#N,-0.131
COC(C)(C)C,-0.256
OCCc1ccccc1,-0.752
COCCO,1.119
C1CCCC1,-2.643
CC(=O)c1ccccc1,-1.286
COC(=O)CC(C)=O,0.634
CC(=O)OC(C)(C)C,-1.188666667
CC1CCCCC1,-3.83475
CCc1ccccc1,-2.7636
CC(=O)OCC(C)C,-1.238
CCC#N,0.276
CCC(C)OC(C)=O,-1.273
CC(=O)OC(C)C,-0.537
Cc1ccccc1C,-2.7936
CCCCCOC(C)=O,-1.8864
CCCC#N,-0.321
CCOC(=O)CCCCC(=O)OCC,-1.68
COC(=O)CCCCC(=O)OC,-1.463
CCC(C)(C)O,0.1098
C1CCCCCCC1,-4.151
O=Cc1ccccc1,-1.227
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-4.9985
OCc1ccccc1,-0.4072
COCCOCCOC,0.86725
N#Cc1ccccc1,-1.356
C1CCOCC1,-0.0305
CCOCCOCC,-0.522
c1ccncc1,0.8968
CC(=O)N(C)C,1.093333333
OC1CCCCC1,-0.4022
S=C=S,-1.553
CCCCCC(C)C,-5.08
CCC(C)CO,-0.47
CCCCCCCCCO,-3.0726
O=[N+]([O-])c1ccccc1,-1.795
Nc1ccccc1,-0.4142
Cc1cccc(C)c1,-2.8216
CCCOCCC,-1.519666667
Cc1cccc(O)c1,-0.6798
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.5875
Cc1ccc(O)c(C)c1,-1.1905
CCCCCCOC(C)=O,-2.454
CN1CCCCC1=O,-0.356
OCCOCCO,0.974
OCCCO,1.119
O=CO,1.283333333
C[C@@H]1CCCC[C@H]1C,-4.27
C[C@H]1CCCC[C@H]1C,-4.271333333
CCCC(=O)O,-0.174666667
OCCOCCOCCO,0.823
OCCOCCOCCOCCO,0.712
CCN(C=O)CC,0.995